paper_id,authors,year,title,source,relevance_score
41731523,Chuang 2026,2026,Dual-biomarkers encoding tumor-activatable minicircles with scaffold/matrix attachment region motif for sensitive and sustained blood and urine-based cancer detection.,PubMed,1.0
41731172,Zhang 2026,2026,Reversible brain functional alterations induced by Short-Term high altitude exposure.,PubMed,1.0
41731093,Yu 2026,2026,Large language model and Gd-EOB-DTPA-enhanced MRI-based risk stratification system for postoperative hepatocellular carcinoma: a multicenter study.,PubMed,1.0
41729569,Maruyama 2026,2026,Evaluation of GPT-5 for Esophageal Cancer Staging Using Fluorodeoxyglucose Positron Emission Tomography Maximum-Intensity Projection Images: Comparative Pilot Study.,PubMed,1.0
41729370,Zanardo 2026,2026,Can AI write reports like a radiologist? A blinded evaluation of large language model-generated lumbar spine MRI reports.,PubMed,1.0
41728114,Jiang 2026,2026,Metagenomic next-generation sequencing for diagnosis of immune checkpoint inhibitor-associated pneumonitis: a retrospective comparative clinical performance study.,PubMed,1.0
41727068,Tu 2026,2026,Commonality and Variability in Functional Networks in Children Under 5 Years Old.,PubMed,1.0
41726532,Guan 2024,2024,A Clinically-Informed Framework for Evaluating Vision-Language Models in Radiology Report Generation: Taxonomy of Errors and Risk-Aware Metric.,PubMed,1.0
41725623,Wang 2026,2026,Synthesis of Highly Crystalline Covalent Organic Frameworks Using Large Language Models.,PubMed,1.0
41722959,Seely 2026,2026,Supplemental ultrasound screening lowers advanced breast cancers.,PubMed,1.0
41722666,Martín-Noguerol 2026,2026,Green Radiology and the Periodic Cartoon-Style ChatGPT Trends: A Wake-Up Call for Sustainable AI Use.,PubMed,1.0
41722332,Li 2026,2026,Explainable and evidence-linked recommendations for spine surgery via a retrieval-augmented LLM agent.,PubMed,1.0
41721141,Herrero-Beaumont 2026,2026,"Integration of gold standard arthroscopy, MRI and synovial histopathology outcomes for enhancing early knee osteoarthritis diagnosis.",PubMed,1.0
41720937,Wienholt 2026,2026,Hallucination filtering in radiology vision-language models using discrete semantic entropy.,PubMed,1.0
41720514,Zhong 2026,2026,Large Language Models for Accurate Medical Chart Abstraction: Enabling Scalable and Secure AI Deployment in Stroke.,PubMed,1.0
41719516,Schoening 2026,2026,Patients and Caregivers Leveraging AI to Improve Their Health Care Journey: Case Study and Lessons Learned.,PubMed,1.0
41719005,Ramasamy 2026,2026,Self-supervised out-of-distribution detection-Metal implants and other anomaly.,PubMed,1.0
41718808,Gibson 2026,2026,Large language models with image processing in automated Cobb angle.,PubMed,1.0
41718766,Kaba 2026,2026,Retrieval-augmented generation-enhanced large language models for comprehensive CAD-RADS 2.0 categorization from structured coronary CTA reports.,PubMed,1.0
41718136,Giourga 2026,2026,"A Deep Learning Approach for Classifying Benign, Malignant, and Borderline Ovarian Tumors Using Convolutional Neural Networks and Generative Adversarial Networks.",PubMed,1.0
41715188,Keivany 2026,2026,Advances in immunotherapy for colorectal cancer: overcoming resistance in mismatch repair-proficient tumors.,PubMed,1.0
41714574,Noh 2026,2026,Artificial Intelligence Could Predict Chest Tube Drainage Necessity for Spontaneous Pneumothorax.,PubMed,1.0
41713868,Hanna 2025,2025,Using a Large Language Model-Generated Prompt to Extract Features from Synthetic MRI Brain Scan Reports: A Cross-Sectional Study.,PubMed,1.0
41713417,Peng 2026,2026,Unified modeling of 3D molecular generation via atomic interactions with PocketXMol.,PubMed,1.0
41710650,Satapathy 2026,2026,"Comment on ""Fulminant Myocarditis in Immune-Mediated Thrombotic Thrombocytopenic Purpura: A Case Report"".",PubMed,1.0
41709715,Naved 2026,2026,"A Scoping Review on Synthetic Datasets: Opportunities, Challenges and Future Directions for Endodontics.",PubMed,1.0
41709102,Kwok 2026,2026,Simplifying Radiology Reports for Patients Using ChatGPT: A Systematic Review.,PubMed,1.0
41707827,Mine 2026,2026,Assessing multimodal large language models for localizing dental implant fixtures on panoramic radiographs.,PubMed,1.0
41706405,Kellermayer 2026,2026,Type 1 Dolichocolon as a Potential Anatomic Co-morbidity in Children with Perianal Crohn's Disease.,PubMed,1.0
41706204,Kocak 2026,2026,Does gradual weaning improve outcomes after successful Pavlik harness treatment in developmental hip dysplasia? A retrospective comparative study.,PubMed,1.0
41705361,Bouterse 2026,2026,"Artificial intelligence in orthopaedics: Enhanced examinations, ambient intelligence and the future of clinical practice.",PubMed,1.0
41703338,Genchev 2026,2026,Effect of thin porous ceramic coatings on implant stability: a comparative study of GB14 and β-TCP with and without Cu.,PubMed,1.0
41703089,Hashmi 2026,2026,"Clinical burden, genetic heterogeneity, and diagnostic implications in primary hyperoxaluria type 2.",PubMed,1.0
41700534,Chen 2026,2026,Association of Sleep Duration With Intracranial Atherosclerosis and Cerebral Small Vessel Disease: A Mediation by Metabolic Factors.,PubMed,1.0
41700218,Cho 2026,2026,How much of a face is a face: exploring reidentification potential with generative AI.,PubMed,1.0
41699814,Tang 2026,2026,Voxel-Wise Whole-Brain Analysis in Quantitative Susceptibility Mapping: A Narrative Review.,PubMed,1.0
41699323,Gu 2026,2026,Predicting soil cadmium spatial distribution with HDXRF coupling to multi-model machine learning in the karst area.,PubMed,1.0
41698858,Alabed 2026,2026,"Large language models for simplifying radiology reports: a systematic review and meta-analysis of patient, public, and clinician evaluations.",PubMed,1.0
41697544,Gül 2026,2026,Bone health and fracture risk in diabetes: A multicenter study.,PubMed,1.0
41697204,Sequi 2026,2026,Current role of artificial intelligence in the management of benign prostatic hyperplasia: a systematic review.,PubMed,1.0
41696343,Wu 2026,2026,"Digital-Twin Enabled ""Living Fresco"".",PubMed,1.0
41696081,Muhammad Saqib 2026,2026,Explainable bidirectional encoder representations from image transformers for Alzheimer's disease prediction.,PubMed,1.0
41696080,Lee 2026,2026,AI-assisted interpretation of bone scans: Performance comparison between ChatGPT-4o and a TFDA-approved bone scintigraphy platform in AI-driven nuclear imaging interpretation.,PubMed,1.0
41695777,Luo 2025,2025,Mixture of Experts Made Personalized: Federated Prompt Learning for Vision-Language Models.,PubMed,1.0
41695240,Razavian 2025,2025,Catalyzing Health AI by Fixing Payment Systems.,PubMed,1.0
